name_ar,name_en,poems_served,poems_total,era_id,era_name,century_now,death_year,birth_year,active_year,century_new,date_confidence,source_note
المأمون,al-Ma'mun,1,,2,عباسي,9,833,786,,9,exact,Abbasid caliph
المتوكل الليثي,al-Mutawakkil al-Laythī,1,,4,أموي,8,695,,,7,approx,"Umayyad, Kufa"
المثقب العبدي,al-Muthqab al-'Abdi,1,,5,جاهلي,6,587,,,6,approx,Pre-Islamic of Abd al-Qays
المدايح النبوية,Al-Mada'ih al-Nabawiyya,1,,7,أندلسي,11,,,,,,"NOT A POET - theme label (""prophetic panegyric"") misfiled as a poet row"
المعتضد بن عباد,al-Mu'tadid ibn 'Abbad,1,,8,مملوكي,14,1069,1015,,11,exact,"Abbadid king of Seville, father of al-Mu'tamid"
المقنع الكندي,al-Muqannaʿ al-Kindī,1,,4,أموي,8,,,680,7,approx,Umayyad Yemeni; floruit estimate
الملك المعز محيي الدين الايوبي,al-Malik al-Muʿizz Muḥyī al-Dīn al-Ayyūbī,1,,8,مملوكي,14,1249,,,13,approx,Ayyubid prince
المهذب بن الزبير,al-Muhadhdhab ibn al-Zubayr,1,,8,مملوكي,14,1170,1112,,12,approx,"Egypt, Fatimid-Ayyubid"
الميكالي,al-Mikali,1,,7,أندلسي,11,1044,,,11,exact,Duplicate of Abu al-Fadl al-Mikali
الناشئ الأكبر,al-Nash' al-Akbar,1,,2,عباسي,9,906,,,10,exact,"Abd Allah ibn Muhammad, Mu'tazilite, d. 293 AH"
النَهشَلي,al-Nahshalī,1,,4,أموي,8,,,1000,10,approx,Kairouan (Abd al-Karim al-Nahshali); floruit estimate
الوزير المهلبي,al-Wazir al-Mahlabi,1,,2,عباسي,9,963,903,,10,exact,Buyid vizier of Baghdad
ام ابي الحسن السلامي,Umm Abī al-Ḥasan al-Salāmī,1,,8,مملوكي,14,,,1000,10,approx,Mother of al-Salami; floruit estimate
ام صريع الكندية,Umm Sari' al-Kindiyya,1,,5,جاهلي,6,,,650,7,approx,Early Islamic poetess; floruit estimate
تماضر بنت الشريد,Tamador bint al-Sharid,1,,5,جاهلي,6,645,575,,7,approx,Given name of al-Khansa; duplicate entry
توبة بن الحمير الخفاجي,Tawba bin al-Humayr al-Khufaji,1,,2,عباسي,9,704,,,8,approx,"Umayyad, Layla al-Akhyaliyya cycle"
جورج جريس فرح,George Jiries Farah,1,,7,أندلسي,11,,,1980,20,approx,Contemporary Lebanese; floruit estimate
حاجب الفيل,Hajib al-Fil,1,,7,أندلسي,11,,,900,9,approx,Abbasid-era byname; floruit estimate
ذو المفاخر الهمذاني النيرماني,Dhu al-Mafakhir al-Hamdani al-Nayrmani,1,,7,أندلسي,11,,,1100,11,approx,Hamadhan; floruit estimate
ريطة بنت عاصم الهوازنية,Rayta bint Asim al-Hawazaniyya,1,,5,جاهلي,6,,,620,7,approx,Pre-Islamic poetess; floruit estimate
سديد الدولة ابن الانباري,Sadid al-Dawla Ibn al-Anbari,1,,7,أندلسي,11,1200,1130,,12,approx,Baghdad chancery
سليمى بنت المهلهل,Salima bint al-Muhalhil,1,,5,جاهلي,6,,,530,6,approx,"Pre-Islamic, of the Basus cycle"
سهل الغرناطي,Sahl al-Gharnati,1,,8,مملوكي,14,,,1300,13,approx,Granada; floruit estimate
سيف الرحبي,Saif al-Rahbi,1,,3,متأخر,,,1956,2000,20,exact,"Oman, living"
شرف الدين البوصيري,Sharaf al-Din al-Busiri,1,,7,أندلسي,11,1295,1213,,13,exact,Duplicate (full name) of al-Busiri
شهاب الدين الالوسي,Shihab al-Din al-Alusi,1,,5,جاهلي,6,1854,1802,,19,exact,Duplicate of Mahmud al-Alusi
شهاب الدين الخلوف,Shibāb al-Dīn al-Khulūf,1,,8,مملوكي,14,1479,1425,,15,approx,"Maghribi, Mamluk-era madih poet"
ضرار الفهري,Ḍirār al-Fihrī,1,,6,مخضرم,13,,,700,7,approx,Umayyad-era; floruit estimate
طريح بن إسماعيل الثقفي,Ṭuraiḥ ibn Ismāʿīl al-Thaqafī,1,,4,أموي,8,782,,,8,approx,"Umayyad-Abbasid, Ta'if"
ظافر الحداد,Ẓāfir al-Ḥaddād,1,,7,أندلسي,11,1134,,,12,exact,"Alexandria, Fatimid era, d. 529 AH"
عامرية الكثيب,Ameriyya al-Kathib,1,,1,إسلامي,7,,,1200,12,approx,Byname only; no reliable dates
عايشة بنت احمد القرطبية,Aisha bint Ahmad al-Qurtubiyya,1,,8,مملوكي,14,1010,,,11,exact,"Cordoba, d. 400 AH"
عبد العزيز المقالح,Abd al-Aziz al-Maqaleh,1,,2,عباسي,9,2022,1937,,21,exact,Yemen
عبد الغفار الأخرس,ʿAbd al-Ghaffār al-Akhras,1,,7,أندلسي,11,1873,1804,,19,exact,Mosul/Baghdad
عبد المحسن الصوري بن غلبون,ʿAbd al-Muḥsin al-Ṣūrī ibn Ghalbūn,1,,7,أندلسي,11,1030,951,,11,exact,Duplicate (full name) of Abd al-Muhsin al-Suri
عبد الملك الحارثي,Abd al-Malik al-Harithi,1,,2,عباسي,9,,,1000,10,approx,No reliable dates; floruit estimate
عبد المهيمن الحضرمي,Abd al-Muhaymin al-Hadrami,1,,8,مملوكي,14,1414,1327,,15,approx,Ceuta/Granada
عبدالله جدي,Abdullah Jadi,1,,3,متأخر,,,,2000,20,approx,Contemporary; floruit estimate
عبيد الله الجَعفي,ʿUbayd Allāh al-Jaʿfī,1,,4,أموي,8,,,700,7,approx,Kufan; floruit estimate
عبيد الله بن مسعود الهذلي,Ubayd Allah bin Mas'ud al-Hudhali,1,,2,عباسي,9,,,700,7,approx,Hudhali; floruit estimate
عبيدة اليشكري,ʿUbaydah al-Yashkurī,1,,4,أموي,8,,,600,6,approx,Pre-Islamic; floruit estimate
عرقلة الكلبي الدمشقي,Urqula al-Kalbi al-Dimashqi,1,,7,أندلسي,11,1171,1106,,12,exact,Duplicate (full name) of Urqula al-Dimashqi
عروة بن ادية,'Urwah bin Adiyyah,1,,2,عباسي,9,697,,,7,approx,Kharijite of Tamim
عروة بن حزام,Urwa ibn Hizam,1,,1,إسلامي,7,650,,,7,approx,Udhri lover-poet of Afra
علي بن الحسين,Ali ibn al-Husayn,1,,1,إسلامي,7,713,659,,8,approx,Zayn al-Abidin
علي بن فضال المجاشعي,ʿAlī ibn Faḍḍāl al-Mijāshʿī,1,,4,أموي,8,1086,,,11,approx,"Philologist, Baghdad"
عمرة بنت رواحة الانصارية,'Umrah bint Rawahah al-Ansariyyah,1,,3,متأخر,,,,630,7,approx,Companion poetess; floruit estimate
عمرو الباهلي,ʿAmr al-Bāhilī,1,,6,مخضرم,13,,,700,7,approx,Umayyad-era; floruit estimate
عمرو بن قميئة,ʿAmr ibn Qamīʾah,1,,5,جاهلي,6,540,,,6,approx,"Pre-Islamic, companion of Imru' al-Qays"
فخر الدين ابن هبيرة,Fakhr al-Din ibn Hubayra,1,,3,متأخر,,1165,1105,,12,approx,Baghdad vizier family
قطري بن الفجاءة,Qaṭrī ibn al-Fajāʾah,1,,4,أموي,8,699,,,7,exact,"Kharijite commander, killed 78 AH"
قيس بن عاصم المنقري,Qays bin 'Asim al-Munqari,1,,4,أموي,8,640,,,7,approx,Companion of Tamim
كاظم الخضري,Kadhim al-Khidri,1,,3,متأخر,,,,1900,19,approx,Iraqi; floruit estimate
لقيط بن زرارة الدارمي,Laqīṭ ibn Zurāra al-Dārimī,1,,5,جاهلي,6,,,590,6,approx,Pre-Islamic of Tamim
ليلى العفيفة,Laylā al-ʿAfīfa,1,,5,جاهلي,6,,,600,6,approx,Pre-Islamic; floruit estimate
ليلى بنت سلمى,Laylā bint Salmā,1,,5,جاهلي,6,,,600,6,approx,Pre-Islamic; floruit estimate
مالك الأشتر,Mālik al-Ashtar,1,,6,مخضرم,13,658,,,7,approx,"Companion of Ali, d. on the way to Egypt"
ماني الموسوس,Mani al-Mawsus,1,,2,عباسي,9,862,,,9,approx,"Abbasid, Baghdad"
متمم اليربوعي,Mutammim al-Yarbūʿī,1,,6,مخضرم,13,650,,,7,approx,"Mukhadram, elegist of his brother Malik"
محسن الامين,Muhsin al-Amin,1,,8,مملوكي,14,1952,1867,,20,exact,Jabal Amil then Damascus
محمد بن بشير الخارجي,Muḥammad ibn Bashīr al-Khārijī,1,,4,أموي,8,,,750,8,approx,Umayyad-Abbasid Hijazi; floruit estimate
محمد بن وهيب الحميري,Muhammad bin Wahib al-Himayri,1,,7,أندلسي,11,839,,,9,approx,"Abbasid, court of al-Ma'mun"
محمود حسن اسماعيل,Mahmud Hasan Ismail,1,,8,مملوكي,14,1977,1910,,20,exact,Egypt
مرج الكحل,Marj al-Kuḥl,1,,7,أندلسي,11,1236,,,13,exact,"Andalusian, d. 634 AH"
مروان الطليق,Marwān al-Ṭalīq,1,,7,أندلسي,11,,,1050,11,approx,Andalusian (Marwan al-Taliq); floruit estimate
مروان بن أبي حفصة,Marwan ibn Abi Hafsa,1,,1,إسلامي,7,797,723,,8,exact,Abbasid panegyrist
مسكين الدارمي,Miskīn al-Dārimī,1,,4,أموي,8,708,,,8,approx,Umayyad of Tamim
معاوية بن أبي سفيان,Muʿāwiyah ibn Abī Sufyān,1,,4,أموي,8,680,602,,7,exact,First Umayyad caliph
مهدي البغدادي,Mahdi al-Baghdadi,1,,3,متأخر,,,,1900,19,approx,Iraqi; floruit estimate
نازك الملايكة,Nazik al-Mala'ika,1,,1,إسلامي,7,2007,1923,,21,exact,"Iraq, co-founder of free verse"
نافع بن الأسود,Nāfiʿ ibn al-Aswad,1,,6,مخضرم,13,,,650,7,approx,Early Islamic tribal; floruit estimate
هارون الرشيد,Harun al-Rashid,1,,2,عباسي,9,809,763,,9,exact,Abbasid caliph
هدبة بن الخشرم,Hudbah ibn al-Khuṣram,1,,4,أموي,8,670,,,7,approx,"Umayyad, executed for blood-vengeance"
هزيلة الجديسية,Hazilah al-Judaysiyyah,1,,5,جاهلي,6,,,520,6,approx,"Pre-Islamic, the Tasm and Jadis legend"
هند الضبابية,Hind al-Dababiyyah,1,,5,جاهلي,6,,,650,7,approx,Early Islamic poetess; floruit estimate
هند بنت النعمان,Hind bint al-Nuʿmān,1,,4,أموي,8,,,620,7,approx,Daughter of al-Nu'man ibn al-Mundhir
ورقاء بن زهير,Warqa' ibn Zuhayr,1,,5,جاهلي,6,,,580,6,approx,"Pre-Islamic, the Dahis war cycle"
وضاح اليمن,Waḍḍāḥ al-Yaman,1,,4,أموي,8,708,,,8,approx,"Umayyad, killed under al-Walid"
يحيى بن زياد الحارثي,Yahya ibn Ziyad al-Harithi,1,,2,عباسي,9,,,780,8,approx,"Abbasid, Kufa; floruit estimate"
يزيد المهلبي,Yazid al-Mahlabi,1,,2,عباسي,9,,,850,9,approx,"Abbasid, of the Muhallabids; floruit estimate"
